Country,Col.Name,Country.Code,Download.Code
"Taiwan, Province of China",TAIWAN.GROWTH.Standard..Large.Mid.Cap..Growth,TW_G,"3060,G,30"
Thailand,THAILAND.GROWTH.Standard..Large.Mid.Cap..Growth,TH_G,"3062,G,30"
Turkey,TURKEY.GROWTH.Standard..Large.Mid.Cap..Growth,TR_G,"3066,G,30"
United Arab Emirates,UNITED.ARAB.EMIRATES.GROWTH.Standard..Large.Mid.Cap..Growth,AE_G,"104964,G,30"
United Kingdom,UNITED.KINGDOM.GROWTH.Standard..Large.Mid.Cap..Growth,GB_G,"2948,G,30"
United States,USA.GROWTH.Standard..Large.Mid.Cap..Growth,US_G,"2950,G,30"
Emerging,EM..EMERGING.MARKETS..GROWTH.Standard..Large.Mid.Cap..Growth,__EM_G,"3172,G,30"
Developed,WORLD.GROWTH.Standard..Large.Mid.Cap..Growth,__DM_G,"2992,G,30"
Americas,AC.AMERICAS.GROWTH.Standard..Large.Mid.Cap..Growth,__AM_G,"3074,G,36"
Asia-Pacific,AC.ASIA.PACIFIC.GROWTH.Standard..Large.Mid.Cap..Growth,__AP_G,"3093,G,36"
Europe,AC.EUROPE.GROWTH.Standard..Large.Mid.Cap..,__EU_G,"3102,C,36"
United States,USA.LARGE.GROWTH.Large.Cap.Growth,US_L_G,"59608,G,31"
United States,USA.LARGE.VALUE.Large.Cap.Value,US_L_V,"59503,V,31"
United States,USA.SMALL.GROWTH.Small.Cap.Growth,US_S_G,"64596,G,33"
United States,USA.SMALL.VALUE.Small.Cap.Value,US_S_V,"64491,V,33"
United States,USA.SMID.GROWTH.SMID..Small.Mid.Cap..Growth,US_SM_G,"71238,G,34"
United States,USA.SMID.VALUE.SMID..Small.Mid.Cap..Value,US_SM_V,"71133,V,34"
United States,USA.MOMENTUM.Standard..Large.Mid.Cap..Momentum,US_M,"100338,1,30"
United States,USA.QUALITY.Standard..Large.Mid.Cap..Quality,US_Q,"100108,U,30"
United States,USA.MINIMUM.VOLATILITY..USD..Standard..Large.Mid.Cap..Minimum.Volatility,US_MV,"91630,M,30"
Emerging,EM..EMERGING.MARKETS..MOMENTUM.Standard..Large.Mid.Cap..Momentum,__EM_M,"103233,1,36"
Emerging,EM..EMERGING.MARKETS..QUALITY.Standard..Large.Mid.Cap..Quality,__EM_Q,"100107,U,36"
Emerging,EM.MINIMUM.VOLATILITY..USD..Standard..Large.Mid.Cap..Minimum.Volatility,__EM_MV,"95203,M,36"
Developed,WORLD.MOMENTUM.Standard..Large.Mid.Cap..Momentum,__DM_M,"103214,1,36"
Developed,WORLD.QUALITY.Standard..Large.Mid.Cap..Quality,__DM_Q,"100106,U,36"
Developed,WORLD.MINIMUM.VOLATILITY..USD..Standard..Large.Mid.Cap..Minimum.Volatility,__DM_MV,"90349,M,36"
